Producto,Marca,Precio Descuento,Precio Internet,Precio Anterior
Latitude 5450 14» Intel Core Ultra 5-125U 16GB 512GB SSD W11 Pro Gris,DELL,$ 977.990,$ 1.029.990,$ 1.610.990
Notebook ThinkPad P16s 3ra Gen Intel Core Ultra 7 32GB RAM 1TB SSD NVIDIA RTX 500 16 WQUXGA W11 Pro,LENOVO,no encontrado,$ 2.199.990,no encontrado
Notebook Thinkpad E14 G2 I3-1115G4 4GB 256SSD W10 Home.,LENOVO,no encontrado,$ 799.990,no encontrado
NOTEBOOK INTEL CORE I5 DISCO SOLIDO SSD,DELL,no encontrado,$ 699.999,no encontrado
NOTEBOOK CORE I5 DISCO SOLIDO,HP,no encontrado,$ 799.990,no encontrado
"Notebook Zbook Firefly 14 G8 i7 16GB 512GB 14"" W10 Pro",HP,no encontrado,$ 1.889.990,no encontrado
"Notebook Gamer Thin A15 AMD Ryzen 9 8945HS 16GB RAM 1TB SSD NVIDIA GeForce RTX 4060 15.6""",MSI,$ 1.309.990,$ 1.349.990,$ 1.719.990
Notebook CORE I5 8 GB DE RAM SSD,DELL,no encontrado,$ 699.999,no encontrado
Notebook core i5 8 gb de ram y 256 gb de disco ssd decima,DELL,no encontrado,$ 800.000,no encontrado
Latitude 5420 Intel Core i7 11th Gen 32GB 512 SSD - Reacondicionado,DELL,no encontrado,no encontrado,no encontrado
Notebook 14-em0002la AMD Ryzen 5 8GB RAM 512GB SSD,HP,no encontrado,no encontrado,no encontrado
Notebook 14 CORE I5 8 GB DE RAM Y DISCO SOLIDO,HP,no encontrado,$ 770.000,no encontrado
Notebook 2 en 1 Pavilion 14-ek1011la I5 8GB RAM 512GB SSD,HP,no encontrado,$ 959.990,no encontrado
Notebook Thinkpad 14 MODELO T495 CORE I7 8 GB RAM,LENOVO,no encontrado,$ 750.000,no encontrado
"Notebook Modern Intel Core Ultra 9 185H 32GB RAM 1TB SSD 15.6"" Touchscreen",MSI,$ 1.099.990,$ 1.169.990,$ 1.379.990
Notebook 2 en 1 Pavilion 14-ek1012la I5 8GB RAM 512GB SSD,HP,no encontrado,$ 939.990,no encontrado
"Notebook Ideapad Slim 3 AMD Ryzen 3 7320U 8GB 512GB SSD 15,6"" FHD",LENOVO,$ 429.990,$ 449.990,$ 529.990
Notebook THINKPAD 14 CORE I5 8 GB DE RAM Y 256 GB DE DISCO DURO,LENOVO,no encontrado,$ 600.000,no encontrado
Notebook 245 G9 Ryzen 3 3250U 8GB RAM SSD 256GB Windows 11 – 7F211LT,HP,no encontrado,no encontrado,no encontrado
"Macbook Air 2017 i5 8GB 128GB SSD 13"" Reacondicionado - Plata",APPLE,no encontrado,$ 399.990,no encontrado
NITRO GAMER CON INTEL CORE I9 Y 8GB DE VIDEO DEDICADOS,ACER,no encontrado,$ 1.699.990,no encontrado
"INSPIRON 3530 Intel i7, 16GB Ram, 1TB SSD",DELL,no encontrado,$ 1.099.990,no encontrado
440 G2 CORE I7 4510U 16 GB DDR3 SSD 256 GB HDMI,HP,no encontrado,$ 255.990,no encontrado
Notebook SFL16-51M-71HH-1 IntelCoreUltra7 155U 1TB SSD 16GB RAM Pantalla 16,ACER,$ 1.019.990,$ 1.049.990,$ 1.499.990
"MacBook Air 2020, 8 GB de RAM, 128 GB SSD, gris espacial, Reacondicionado",APPLE,no encontrado,$ 839.990,no encontrado
Notebook CORE I5 DISCO SOLIDO,DELL,no encontrado,$ 699.990,no encontrado
Notebook Ryzen 3 8GB RAM 256GB SSD 14p Win11,HP,$ 359.990,$ 379.990,$ 750.000
Notebook V14 IIL i5-1035 G1 4GB SSD 256GB W10HOME 14 HD.,LENOVO,no encontrado,$ 629.990,no encontrado
Notebook core i5 thinkpad 8 gb de ram .,LENOVO,no encontrado,$ 750.000,no encontrado
Notebook Gamer Legion 5i 9na Gen Intel Core i9 16GB RAM 1TB SSD NVIDA RTX4060 16'' WQXGA,LENOVO,no encontrado,$ 2.499.990,no encontrado
Notebook thinkpad Carbon,LENOVO,no encontrado,no encontrado,no encontrado
NOTEBOOK INTEL CORE I5 THINKPAD 8 GB DE RAM,LENOVO,no encontrado,$ 750.000,no encontrado
Notebook i5 6° Gen 8gb ram 256ssd,DELL,no encontrado,$ 550.000,no encontrado
Notebook CORE I5 8 GB DE RAM Y 256 GB DISCO SSD,DELL,no encontrado,$ 1.000.000,no encontrado
NOTEBOOK CORE I5 DISCO SOLIDO,DELL,no encontrado,$ 799.990,no encontrado
NOTEBOOK CORE I5 8 GB DE RAM Y DISCO SOLIDO THINKPAD,LENOVO,no encontrado,$ 699.990,no encontrado
Notebook Latitude 7300 / Intel Core i7 8650U/ 256GB SSD / 16GB Ram / TACTIL 13.3 FHD GRADO B,DELL,no encontrado,no encontrado,no encontrado
NOTEBOOK CORE I5 DECIMA GEN 8 GB DE RAM Y 500 GB DE DISCO SSD,DELL,no encontrado,$ 800.000,no encontrado
Notebook CORE I5 8 GB DE RAM Y DISCO SSD,DELL,no encontrado,$ 800.000,no encontrado
MACBOOK PRO A1990 i9 16GB Ram 512 SSD Reacondicionado Grado A,APPLE,no encontrado,$ 1.999.990,no encontrado
Notebook 14 CORE I5 DISCO SOLIDO,HP,no encontrado,$ 770.000,no encontrado
Notebook Zenbook 14 OLED Intel Ultra 5 8GB RAM 512GB SSD Touchscreen,ASUS,$ 619.990,$ 679.990,$ 849.990
"Notebook Gamer ROG Zephyrus G16 i7-13620H 16GB RAM 512GB SSD RTX 4070 16"" 165Hz",ASUS,$ 1.499.990,$ 1.589.990,$ 1.999.990
Notebook Zenbook 14 OLED Intel Ultra 5 8GB RAM 512GB SSD Touchscreen,ASUS,$ 619.990,$ 679.990,$ 849.990
"Notebook Gamer ROG Zephyrus G16 i7-13620H 16GB RAM 512GB SSD RTX 4070 16"" 165Hz",ASUS,$ 1.499.990,$ 1.589.990,$ 1.999.990
Notebook 245 G9 Ryzen 3 3250U 8GB RAM SSD 256GB Windows 11 – 7F211LT,HP,no encontrado,no encontrado,no encontrado
NOTEBOOK INTEL CORE I5 DISCO SOLIDO THINKPAD,LENOVO,no encontrado,$ 799.990,no encontrado
Notebook 5400 CORE i5 8va gen 8gb de ram ssd de 256GB,DELL,no encontrado,$ 999.990,no encontrado
Notebook Thinkpad 14 MODELO T495 CORE I7 8 GB RAM,LENOVO,no encontrado,$ 750.000,no encontrado
"MacBook Air 13"" M4 (10n CPU 8n GPU), 16GB RAM, 256GB SSD, 2025 - Azul Cielo",APPLE,$ 1.129.990,$ 1.169.990,$ 1.439.990
"Notebook Ideapad Slim 3 AMD Ryzen 5 7520U 8GB 512GB SSD 15,6"" FHD + Bolso Regalo",LENOVO,$ 499.990,$ 519.990,$ 549.990
Notebook Gamer ROG Flow X13 GV301QH Ryzen 9 32GB RAM 1TB SSD Reacondicionado,ASUS,no encontrado,$ 3.599.990,no encontrado
NOTEBOOK IDEAPAD DISCO SOLIDO 14 PULGADAS HD+,LENOVO,no encontrado,$ 799.990,no encontrado
Notebook Core i5 8 GB DE RAM Y DISCO SOLIDO.,DELL,no encontrado,$ 649.980,no encontrado
Notebook 14-em0002la AMD Ryzen 5 8GB RAM 512GB SSD,HP,no encontrado,no encontrado,no encontrado
NOTEBOOK IDEAPAD 14 HD DISCO SOLIDO,LENOVO,no encontrado,$ 899.990,no encontrado
Notebook 240 G10 Intel Core i3 8GB RAM 512GB SSD,HP,no encontrado,$ 569.990,no encontrado
Notebook Laptop M415 Ryzen 7 8GB RAM 256GB SSD Reacondicionado,ASUS,no encontrado,$ 819.990,no encontrado
"MacBook Air 2020, 8 GB de RAM, 128 GB SSD, gris espacial, Reacondicionado",APPLE,no encontrado,$ 839.990,no encontrado
Notebook Yoga Slim 7i 9na Gen Intel Core Ultra 7 32GB RAM 1TB SSD 153 28K Windows 11,LENOVO,no encontrado,$ 1.899.990,no encontrado
Notebook INTEL CORE I7 8 GB DE RAM DISCO SOLIDO,HP,no encontrado,$ 799.990,no encontrado
NOTEBOOK THINKPAD INTEL CORE I7 DISCO SOLIDO,LENOVO,no encontrado,$ 750.000,no encontrado
NOTEBOOK ELITEBOOK CORE I7 DISCO SOLIDO,HP,no encontrado,$ 990.000,no encontrado
Portatil Galaxy Book3 360 13,SAMSUNG,no encontrado,$ 1.499.990,no encontrado
"MacBook Pro 2019 16"" Intel Core i7 Gris Espacial 16GB RAM 512GB SSD Reacondicionado",APPLE,no encontrado,$ 799.990,no encontrado
"MacBook Pro 2019 16"" Intel Core i7 Plata 16GB RAM 512GB SSD Reacondicionado",APPLE,no encontrado,$ 799.990,no encontrado
MacBook Air Core i5 8GB RAM 128GB SSD Reacondicionado,APPLE,no encontrado,$ 529.990,no encontrado
"MacBook Pro 2019 16"" Intel Core i9 16GB RAM 1TB SSD Gris Espacial reacondicionado",APPLE,no encontrado,$ 919.990,no encontrado
Notebook ExpertBook P1 i5-13420H 16GB Ram 512GB SSD W11Pro,ASUS,no encontrado,$ 699.990,no encontrado
Notebook Intel N4020 8GB 256GB SSD 141 W11H HerobookPro,CHUWI,no encontrado,$ 359.990,no encontrado
Notebook t490 i5 10ma gen 8gb de ram SSD de 512gb Disco Solido FHD,LENOVO,no encontrado,$ 999.990,no encontrado
Notebook Gamer LOQ AMD Ryzen 7 7435HS 16RAM 512GB SSD GeForce RTX 4070,LENOVO,$ 1.229.990,$ 1.299.990,$ 1.649.990
"Notebook Gamer Nitro Intel Core i7-12450H 16GB RAM 512GB SSD NVIDIA GeForce RTX 4060 15.6""",ACER,$ 1.049.990,$ 1.129.990,$ 1.499.990
"Monitor Portatil Full HD 15.6"" Multiples Conexiones",LINKON,$ 89.990,$ 94.990,$ 149.990
Notebook 245 G10 Ryzen 5 7530U 8GB Ram 512GB W11H,HP,no encontrado,no encontrado,no encontrado
NOTEBOOK ELITEBOOK 840 CORE I7 DISCO SOLIDO,HP,no encontrado,$ 970.000,no encontrado
Notebook ThinkPad E16 2da Gen Intel Core Ultra 5 16GB RAM 512GB SSD 16 WUXGA W11 Pro,LENOVO,no encontrado,$ 1.299.990,no encontrado
Notebook Intel Core i5 8 GB RAM 256 SSD,DELL,no encontrado,$ 799.990,no encontrado
Notebook thinkpad CORE I5 8 GB DE RAM Y DISCO SOLIDO SSD,LENOVO,no encontrado,$ 890.000,no encontrado
Notebook Thinkpad Intel core i5 8 GB RAM,LENOVO,no encontrado,$ 750.000,no encontrado
Notebook core i5 thinkpad 8 gb de ram .,LENOVO,no encontrado,$ 750.000,no encontrado
NOTEBOOK THINKPAD RYZEN 7 PRO 8 GB DE RAM Y DISCO SOLIDO,LENOVO,no encontrado,$ 750.000,no encontrado
Notebook IDEAPAD CORE I5 8 GB DE RAM Y DISCO SOLIDO,LENOVO,no encontrado,$ 800.000,no encontrado
NOTEBOOK THINKPAD INTEL CORE I5 DISCO SOLIDO,LENOVO,no encontrado,$ 900.000,no encontrado
NOTEBOOK V14 G2 i5-1135G7 12GB RAM 256GB SSD REACONDICIONADO GRADO A,LENOVO,no encontrado,no encontrado,no encontrado
Notebook VivoBook X571 Core i5 8GB RAM 512GB SSD Reacondicionado,ASUS,no encontrado,$ 799.990,no encontrado
Notebook LOQ 9na Gen AMD Ryzen 7 16GB RAM 512GB SSD NVIDIA RTX 4060 15,LENOVO,no encontrado,$ 1.799.990,no encontrado
Macbook Pro 16'' Core I7 16GB RAM 512GB SSD Gris (2019) Reacondicionado,APPLE,$ 769.990,$ 789.990,$ 1.599.990
Notebook thinkpad T490 i7 Generación,LENOVO,no encontrado,$ 867.000,no encontrado
Notebook Thinkpad Core i5,LENOVO,no encontrado,$ 750.000,no encontrado
Latitude 5420 32GB RAM 512GB SSD (Reacondidionado),DELL,no encontrado,$ 799.990,no encontrado
"MacBook Air 2015, Intel i5, 8 GB RAM, 128 GB SSD 13"" Reacondicionado - Plata",APPLE,no encontrado,$ 389.990,no encontrado
"MacBook Air 13"" i5 8GB RAM 256GB SSD Plateado (2017) Reacondicionado",APPLE,no encontrado,$ 749.990,no encontrado
"Notebook EliteBook 840 G10 14"" Intel Core i5 16GB RAM 512GB SSD",HP,no encontrado,$ 1.299.990,no encontrado
Notebook Latitude core i5 disco solido,DELL,no encontrado,$ 599.990,no encontrado
"Notebook Acer Chromebook 315 15.6"" FHD Intel Celeron N4500 4GB RAM 64GB eMMC + Funda Protectora",ASUS,no encontrado,no encontrado,no encontrado
"MacBook Air 13"" i5 8GB RAM 256GB SSD Plateado (2017) Reacondicionado",APPLE,$ 339.990,$ 349.990,$ 749.990
"MacBook Air 13"" M4 (10n CPU 8n GPU), 16GB RAM, 256GB SSD, 2025 - Plata",APPLE,$ 1.129.990,$ 1.169.990,$ 1.439.990
"Macbook Pro A2141 16"" Core i7 2.6Ghz Turbo Boost 16 GB Ram 512GB SSD Reacondicionado",APPLE,no encontrado,$ 1.599.990,no encontrado
Mac Mini M4 10C 16GB 256GB,APPLE,no encontrado,$ 809.990,no encontrado
"MacBook Air (15,3"", M3 (8n CPU, 10n GPU), 16GB RAM, 512GB SSD)",APPLE,$ 1.599.990,$ 1.619.990,$ 2.119.990
Macbook Pro 2017 i5 8GB 256GB Retina SSD 13.3'' Reacondicionado - Plata,APPLE,no encontrado,no encontrado,no encontrado
Notebook Latitude 5320 i7- 1185g7 16GB RAM 256GB SSD REACONDICIONADO GRADO B,DELL,no encontrado,no encontrado,no encontrado
"Macbook Air 13"" Core i5 8GB RAM - 128GB SSD (2017) Reacondicionado",APPLE,$ 279.990,$ 289.990,$ 699.990
Notebook core i5 thinkpad 8 gb de ram .,LENOVO,no encontrado,$ 750.000,no encontrado
Macbook Pro A2141 2019 Core i9 32GB Ram 8 nucleos 2.4Ghz Turbo a 4.1GHZ 512GB SSD Reacondicionado A,APPLE,no encontrado,$ 1.499.990,no encontrado
"Macbook Pro A2141 2019 16"" Core i9 2.4Ghz Turbo Boost 32 GB Ram 1TB SSD Reacondicionado",APPLE,no encontrado,$ 1.499.990,no encontrado
Notebook Ryzen 3 8GB RAM 256GB SSD 14p Win11,HP,$ 359.990,$ 379.990,$ 750.000
Notebook Latitude core i5 disco solido,DELL,no encontrado,$ 599.990,no encontrado
Notebook ThinkBook 16 7ma Gen Intel Core Ultra 7 16GB RAM 1TB SSD 16 WUXGA,LENOVO,$ 1.119.990,$ 1.169.990,$ 1.399.990
NOTEBOOK INTEL CORE I5 DISCO SOLIDO SSD,DELL,no encontrado,$ 699.999,no encontrado
Notebook ELITEBOOK 14 CORE I7 DISCO SOLIDO,HP,no encontrado,$ 970.000,no encontrado
NOTEBOOK INTEL CELERON 4 GB DE RAM Y DISCO SOLIDO,HP,$ 349.990,$ 359.990,$ 790.000
"Notebook Zbook Firefly 14 G8 i7 16GB 512GB 14"" W10 Pro",HP,no encontrado,$ 1.889.990,no encontrado
Notebook Spectre x360 16-f2013dx Core i7 2.4GHz 16GB RAM 512GB SSD Reacondicionado,HP,no encontrado,$ 1.699.990,no encontrado
"Notebook Modern Intel Core Ultra 9 185H 32GB RAM 1TB SSD 15.6"" Touchscreen",MSI,$ 1.099.990,$ 1.169.990,$ 1.379.990
NOTEBOOK INTEL CORE I5 DISCO SOLIDO THINKPAD,LENOVO,no encontrado,$ 799.990,no encontrado
Notebook 5400 CORE i5 8va gen 8gb de ram ssd de 256GB,DELL,no encontrado,$ 999.990,no encontrado
Notebook 2 en 1 Pavilion 14-ek1011la I5 8GB RAM 512GB SSD,HP,no encontrado,$ 959.990,no encontrado
Notebook Intel Core i5 8 GB RAM 256 SSD,DELL,no encontrado,$ 799.990,no encontrado
Vivobook S 16 Flip - 16 pulgadas Touch 2-en-1 Core i5 8GB RAM 512GB SSD Negro,ASUS,no encontrado,$ 789.990,no encontrado
NOTEBOOK IDEAPAD DISCO SOLIDO 14 PULGADAS HD+,LENOVO,no encontrado,$ 799.990,no encontrado
Galaxy Book 4 Intel® Core 5 8GB,SAMSUNG,no encontrado,$ 799.990,no encontrado
Victus Gaming Laptop 15-fa1003la Intel Core i5-12500H 156 16GB512GB SSD PC- Seminuevo,HP,no encontrado,no encontrado,no encontrado
NOTEBOOK CORE I5 DISCO SOLIDO,DELL,no encontrado,$ 799.990,no encontrado
NOTEBOOK CORE I5 8 GB DE RAM Y DISCO SOLIDO THINKPAD,LENOVO,no encontrado,$ 699.990,no encontrado
Notebook ThinkBook 14 7ma Gen AMD Ryzen 5 16GB RAM 512B SSD 14 WUXGA W11Pro,LENOVO,no encontrado,$ 1.099.990,no encontrado
"Notebook Aero 16 BKF - 16"" OLED, 4K UHD 60Hz, i7-13700H, 16GB RAM, 1TB SSD, RTX 4060",GIGABYTE,no encontrado,$ 3.599.880,no encontrado
Notebook thinkpad T470 i7 Sesta G,LENOVO,no encontrado,$ 494.990,no encontrado
Notebook SFL16-51M-71HH-1 IntelCoreUltra7 155U 1TB SSD 16GB RAM Pantalla 16,ACER,$ 1.019.990,$ 1.049.990,$ 1.499.990
"MacBook Air 2020, 8 GB de RAM, 128 GB SSD, gris espacial, Reacondicionado",APPLE,no encontrado,$ 839.990,no encontrado
Teclado USB español compacto C/pad numerico XTH-160S,XTECH,no encontrado,no encontrado,no encontrado
NOTEBOOK IDEAPAD 14 HD DISCO SOLIDO,LENOVO,no encontrado,$ 899.990,no encontrado
Notebook Latitude 7300 / Intel Core i7 8650U/ 256GB SSD / 16GB Ram / TACTIL 13.3 FHD GRADO B,DELL,no encontrado,no encontrado,no encontrado
Notebook CORE I5 DISCO SOLIDO,DELL,no encontrado,$ 699.990,no encontrado
Modern 15 A11MU-654 con Intel i5 y SSD de 512GB,MSI,no encontrado,$ 699.999,no encontrado
Notebook CORE I5 8 GB DE RAM SSD,DELL,no encontrado,$ 699.999,no encontrado
Notebook CORE I5 8 GB DE RAM Y 256 GB DISCO SSD,DELL,no encontrado,$ 1.000.000,no encontrado
NOTEBOOK PROBOOK 445 G10 R7-7730U 16GB 512GB W11Pro,HP,no encontrado,$ 1.099.990,no encontrado
Notebook CORE I5 Elitebook SSD,HP,no encontrado,$ 799.990,no encontrado
"Notebook Gamer AORUS 15 Intel Core I7-13700H 8GB RAM 512GB SSD RTX 4060 8GB 15.6"" QHD 360Hz",GIGABYTE,no encontrado,$ 1.999.990,no encontrado
Notebook ThinkPad X1 10ma Gen Intel Core i5 vPro 16GB RAM 1TB SSD 14 WUXGA,LENOVO,no encontrado,$ 1.699.990,no encontrado
Latitude 5420 Intel Core i7 11th Gen 32GB 512 SSD - Reacondicionado,DELL,no encontrado,no encontrado,no encontrado
Notebook 14-em0002la AMD Ryzen 5 8GB RAM 512GB SSD,HP,no encontrado,no encontrado,no encontrado
Notebook Thinkpad E14 G2 I3-1115G4 4GB 256SSD W10 Home.,LENOVO,no encontrado,$ 799.990,no encontrado
"Notebook Gamer Thin A15 AMD Ryzen 9 8945HS 16GB RAM 1TB SSD NVIDIA GeForce RTX 4060 15.6""",MSI,$ 1.309.990,$ 1.349.990,$ 1.719.990
NOTEBOOK CORE I5 DISCO SOLIDO,HP,no encontrado,$ 799.990,no encontrado
Notebook Yoga Slim 7i 9na Gen Intel Core Ultra 7 32GB RAM 1TB SSD 14 WUXGA,LENOVO,no encontrado,$ 1.699.990,no encontrado
"Notebook Zenbook 14"" Touch Oled INTEL Ultra 7 155h 16 CORES SSD 1tb 16gb DDR5",ASUS,no encontrado,no encontrado,no encontrado
Notebook core i5 8 gb de ram y 256 gb de disco ssd decima,DELL,no encontrado,$ 800.000,no encontrado
"NOTEBOOK presicion 5550, 17-10875h 32gb RAM 512gb SSD Nvidia Quadro T2000 4gb GRADO A",DELL,no encontrado,no encontrado,no encontrado
NOTEBOOK CORE I5 DECIMA GEN 8 GB DE RAM Y 500 GB DE DISCO SSD,DELL,no encontrado,$ 800.000,no encontrado
Notebook ThinkBook 16 7ma Gen Intel Core Ultra 7 16GB RAM 1TB SSD 16 WUXGA,LENOVO,$ 1.119.990,$ 1.169.990,$ 1.399.990
Notebook AceBook 8 - El mejor Laptop Precio Calidad Bautizado en YouTube,BLACKVIEW,no encontrado,$ 600.000,no encontrado
NOTEBOOK Latitude 7290 i7-8va 16gb 256gb SSD REACONDICIONADO GRADO B,DELL,no encontrado,no encontrado,no encontrado
NOTEBOOK THINKPAD AMD RYZEN 7 PRO THINKPAD DISCO SOLIDO,LENOVO,no encontrado,$ 589.990,no encontrado
NOTEBOOK INTEL CORE I5 THINKPAD DISCO SOLIDO,LENOVO,no encontrado,$ 750.000,no encontrado
"Notebook 245 G9 AMD R3 3250U RAM 8GB SSD 512GB 14"" W11 Pro",HP,no encontrado,$ 499.990,no encontrado
Notebook ELITEBOOK INTEL CORE I7 DISCO SOLIDO,HP,no encontrado,$ 970.000,no encontrado
FLEX 7 con PEN incluido,LENOVO,no encontrado,$ 1.099.990,no encontrado
NOTEBOOK THINKPAD AMD RYZEN 7 PRO DISCO SOLIDO,LENOVO,no encontrado,$ 589.990,no encontrado
NOTEBOOK THINKPAD T495 RYZEN I7 8GB DE RAM,LENOVO,no encontrado,$ 799.990,no encontrado
NOTEBOOK Latitude 3400 14″ i5 8GB 256GB SSD Reacondicionado Grado A,DELL,no encontrado,no encontrado,no encontrado
NOTEBOOK AMD RYZEN 7 PRO THINKPAD DISCO SOLIDO,LENOVO,no encontrado,$ 589.990,no encontrado
Notebook Latitude Core i5 8 gb de ram y disco ssd,DELL,no encontrado,$ 750.000,no encontrado
Notebook T14 i7 10ma gen 16gb de ram SSD de 512gb Disco Solido FHD,LENOVO,no encontrado,$ 999.990,no encontrado
Elitebook 20GB RAM 256GB SSD Touchscreen Radeon Vega Graphics AMD Ryzen 5 Pro- Reacondicionado,HP,no encontrado,no encontrado,no encontrado
NOTEBOOK THINKPAD INTEL CORE I5 DISCO SOLIDO,LENOVO,no encontrado,$ 900.000,no encontrado
NOTEBOOK INTEL CORE I5 THINKPAD DISCO SOLIDO,LENOVO,no encontrado,$ 799.990,no encontrado
"Notebook Latitude 7480 14"" Intel Core i7 7600U/256GB SSD/8GB Ram REACONDICIONADO GRADO B",DELL,no encontrado,no encontrado,no encontrado
NOTEBOOK V14 G2 i5-1135G7 12GB RAM 256GB SSD REACONDICIONADO GRADO A,LENOVO,no encontrado,no encontrado,no encontrado
Notebook CORE I5 8 GB DE RAM Y DISCO SSD,DELL,no encontrado,$ 800.000,no encontrado
"Notebook ThinkPad T480 14"" i5 16GB RAM 256GB SSD Reacondicionado",LENOVO,no encontrado,$ 549.990,no encontrado
Notebook i3-N3055 8GB Ram 512GB SSD 156 FHD Ideapad - Gris,LENOVO,no encontrado,$ 699.990,no encontrado
"Notebook I5-1135G7/ 16GB/ 256GB/14""/W11P/ ThinkBook 14 G2 ITL",LENOVO,no encontrado,$ 799.990,no encontrado
Portatil Galaxy Book3 360 13,SAMSUNG,no encontrado,$ 1.499.990,no encontrado
Notebook Legion Pro 7i Gen 9 Intel Core i9 32GB RAM 1TB SSD RTX 4080 16'',LENOVO,no encontrado,$ 3.699.990,no encontrado
NOTEBOOK THINKPAD INTEL CORE I7 DISCO SOLIDO,LENOVO,no encontrado,$ 750.000,no encontrado
Notebook INTEL CORE I7 8 GB DE RAM DISCO SOLIDO,HP,no encontrado,$ 799.990,no encontrado
Notebook CORE I3 14 PULGADAS DISCO SOLIDO,HP,no encontrado,$ 790.000,no encontrado
Notebook I9-14900HXRTX 4080 12GB 32GB 1TB 16 W11P ZERO,THUNDEROBOT,no encontrado,$ 3.349.990,no encontrado
"Notebook Intel Core I7-1165G7/ 8GB/ 512 GB/14""/W10H/ IdeaPad 3 14ITL6",LENOVO,no encontrado,$ 799.990,no encontrado
"Notebook i3-1005G1/ 4GB Ram/ 1TB HDD/ 14"" HD/ W10H/Vostro 3401",DELL,no encontrado,$ 439.990,no encontrado
"Notebook N4020/ 8GB / 256GB /14.1""/ W11H HerobookPro (Reacondicionado)",CHUWI,no encontrado,$ 299.990,no encontrado
Notebook ThinkPad E14 6ta Gen Intel Core Ultra 7 16GB RAM 512GB SSD 14 WUXGA W11 Pro,LENOVO,no encontrado,$ 1.399.990,no encontrado
Notebook I7-10510U MX130 2GB 12GB 1TB+128GB 156 WH11 15DW1064LA - Plateado,HP,no encontrado,$ 799.990,no encontrado
NOTEBOOK ELITEBOOK CORE I7 DISCO SOLIDO,HP,no encontrado,$ 990.000,no encontrado
Notebook Gamer ANV15-51-97WF-1Intel Core i9 13900H NVIDIA RTX4060 32GBRAM1TB SSDPantalla 156,ACER,no encontrado,$ 1.999.990,no encontrado
Notebook 250 G10 I7-1355U 16GB Ram 512GB SSD W11Pro,HP,no encontrado,no encontrado,no encontrado
NOTEBOOK ThinkPad T480S INTEL CORE I5-7300U 12GB RAM 256GB TACTIL SSD REACONDICIONADO GRADO A,LENOVO,no encontrado,no encontrado,no encontrado
Notebook Stream Intel Celeron 4gb 64gb 14 Hd Win11 Azul,HP,$ 199.990,$ 209.990,$ 249.990
Notebook Vivobook Go Intel Core i3 8GB 128GB SSD 15.6 FHD,ASUS,$ 299.990,$ 314.990,$ 399.990
Notebook Flex 2 en 1 Core i7 16GB 1TB SSD 16 FHD Táctil,LENOVO,$ 759.990,$ 779.990,$ 999.990
Notebook Gamer Omen i7 14va 32GB 1TBSSD RTX4060 8GB 16.1 FHD,HP,no encontrado,$ 1.899.990,no encontrado
Notebook Vivobook Go Celeron 4GB 64GB 14 FHD W11 Azul,ASUS,$ 179.990,$ 189.990,$ 299.990
Notebook Vivobook S Intel i9 13va 16GB 1TBSSD 14.5 Oled,ASUS,$ 999.990,$ 1.049.990,$ 1.499.990
Notebook Vivobook 15 i9 13va 16GB 1TB SSD 15.6 FHD W11,ASUS,$ 969.990,$ 999.990,$ 1.499.990
Notebook Celeron 4GB 64GB Win11 14,ASUS,$ 189.990,$ 199.990,$ 269.990
Notebook E140 14 pulgadas Intel Celeron 6GB RAM 64 ROM WINDOWS 10 PRO 9000 mAh Mouse Gratis,GENERICO,$ 236.990,$ 249.990,$ 499.990
Notebook L14 ryzen 5 PRO Gen 2 16gb de ram y 256gb SSD,LENOVO,no encontrado,$ 999.990,no encontrado
Notebook T14 i7 10ma gen 16gb de ram SSD de 512gb Disco Solido FHD,LENOVO,no encontrado,$ 999.990,no encontrado
Notebook / Intel Core i3 8 Núcleos / 8GB RAM / 512GB SSD / 16',ACER,$ 429.990,$ 449.990,$ 599.990
NOTEBOOK THINKPAD INTEL CORE I5,LENOVO,no encontrado,$ 699.990,no encontrado
Elitebook 20GB RAM 256GB SSD Touchscreen Radeon Vega Graphics AMD Ryzen 5 Pro- Reacondicionado,HP,no encontrado,no encontrado,no encontrado
Notebook Gamer Victus Intel Core I7-12650H 16GB RAM 512GB SSD NVIDIA GeForce RTX 4050,HP,no encontrado,$ 1.489.990,no encontrado
IdeaPad Gaming 3 con i5 y $GB dedicados en video,LENOVO,no encontrado,$ 699.999,no encontrado
Notebook Thinkpad AMD RYZEN 7 PRO 8 GB DE RAM 512 GB DISCO DURO SOLIDO,LENOVO,no encontrado,$ 650.000,no encontrado
X1 Yoga Intel Core I5 16Ram 512 SSD - Reacondicionado,LENOVO,no encontrado,no encontrado,no encontrado
Notebook INTEL CORE I5 8 gb de ram disco solido,HP,no encontrado,$ 799.990,no encontrado
"Notebook IdeaPad Slim 3 Ryzen 5 8GB RAM 256GB SSD - 15.6"" W11 Reacondicionado de fábrica",LENOVO,no encontrado,$ 499.990,no encontrado
"Notebook Gamer ROG Zephyrus G16 i7-13620H 16GB RAM 512GB SSD RTX 4070 16"" 165Hz",ASUS,$ 1.499.990,$ 1.589.990,$ 1.999.990
Notebook Envy x360 156 FHD Core Ultra 7 16GB 512GB SSD Pantalla Táctil Plateado,HP,$ 899.990,$ 929.990,$ 1.149.990
"NOTEBOOK TravelMate P215-53 15.6, Full HD, i3-1135G7 16GB 256GB GRADO A",ACER,no encontrado,no encontrado,no encontrado
