Producto,Marca,Precio Descuento,Precio Internet,Precio Anterior
Notebook AL16-31P-36HW-1 / Intel Core i3 8 Núcleos / 16GB RAM / 512GB SSD / 16',ACER,$ 449.990,$ 469.990,$ 599.990
Notebook Gamer Victus AMD Ryzen 5-7535HS 8GB RAM 512GB SSD AMD RX 6550M 4GB144Hz,HP,no encontrado,$ 749.990,no encontrado
"ProBook 440 G10 i5-1335U 32GB RAM 1TB SSD NVIDIA RTX 2050 14"" HD Win 11 Home",HP,$ 809.990,$ 839.990,$ 999.990
"EliteOne 800 G4, Intel Core i7-8700, 23.8"", 8GB/256GBSSD - Reacondicionado",HP,no encontrado,$ 399.990,no encontrado
Notebook AL16-51P-71WK-1 Intel Core i7 10 Nucleos 16GB RAM 512GB SSD WUXGA,ACER,no encontrado,$ 919.990,no encontrado
"Notebook 245 G9 AMD R3 3250U RAM 16GB SSD 512GB 14"" W11 Pro",HP,no encontrado,$ 519.990,no encontrado
"Notebook 245 G9 AMD R3 3250U RAM 32GB SSD 1TB 14"" W11 Pro",HP,no encontrado,$ 629.990,no encontrado
NOTEBOOK ELITEBOOK CORE I7 DISCO SOLIDO,HP,no encontrado,$ 790.000,no encontrado
LATITUDE 7490 CORE i5 16GB 256GB SSD Reacondicionado,DELL,no encontrado,$ 559.990,no encontrado
Notebook Gamer A515-58GM-56XX-11 Intel Core i5 8 Nucleos 32GB RAM 512GB SSD RTX 2050,ACER,no encontrado,$ 1.069.990,no encontrado
Macbook Pro 16'' Core I7 16GB RAM 512GB SSD Gris (2019) Reacondicionado,APPLE,$ 769.990,$ 789.990,$ 1.599.990
Notebook Gamer 16-wf0008la I9 32GB 1TB RTX4070 8GB,HP,$ 2.089.990,$ 2.133.990,$ 2.559.990
Macbook Air M1 8GB RAM 256GB SSD - Oro,APPLE,no encontrado,$ 899.990,no encontrado
NOTEBOOK IDEAPAD 14 HD DISCO SOLIDO,LENOVO,no encontrado,$ 899.990,no encontrado
"NOTEBOOK TravelMate P215-53 15.6, Full HD, i3-1135G7 16GB 256GB GRADO A",ACER,no encontrado,no encontrado,no encontrado
IdeaPad Gaming 3 con i5 y $GB dedicados en video,LENOVO,no encontrado,$ 699.999,no encontrado
Latitude 5420 32GB RAM 512GB SSD (Reacondidionado),DELL,no encontrado,$ 799.990,no encontrado
"Notebook IdeaPad Slim 3 Ryzen 5 8GB RAM 256GB SSD - 15.6"" W11 Reacondicionado de fábrica",LENOVO,no encontrado,$ 499.990,no encontrado
Notebook Pavilion 2 en 1 14-ek1013la Intel Core i3 8GB RAM 512GB SSD,HP,$ 579.990,$ 601.990,$ 939.990
Notebook x360 14-ek0010la Intel Core i3 8GB RAM 512GB SSD,HP,no encontrado,$ 829.990,no encontrado
"Notebook Thin GF63 15.6"" FHD 144Hz Core i5 8GB RAM RTX 2050 1TB SSD",MSI,no encontrado,$ 919.990,no encontrado
Dragonfly Pro AMD Ryzen 7-7736U 8-Core 16GB LPDDR5 RAM 512GB PCIe SSD,HP,no encontrado,$ 979.990,no encontrado
"Notebook Acer Chromebook 315 15.6"" FHD Intel Celeron N4500 4GB RAM 64GB eMMC + Funda Protectora",ASUS,no encontrado,$ 299.990,no encontrado
"MacBook Pro, 16 GB de RAM, 1 TB SSD, gris espacial - Reacondicionado",APPLE,no encontrado,$ 999.990,no encontrado
Notebook 245 G10 Ryzen 5 7530U 8GB Ram 512GB W11H,HP,no encontrado,no encontrado,no encontrado
"MacBook Air 2015, Intel i5, 8 GB RAM, 128 GB SSD 13"" Reacondicionado - Plata",APPLE,no encontrado,$ 389.990,no encontrado
"XPS 9350 13.3"" i5-7200U 256SSD 8gbram fullHD OPENBOX",DELL,no encontrado,$ 689.000,no encontrado
Notebook VivoBook X571 Core i5 8GB RAM 512GB SSD Reacondicionado,ASUS,no encontrado,$ 799.990,no encontrado
Notebook Thinkpad T470 Intel core i5 8 GB RAM,LENOVO,no encontrado,$ 750.000,no encontrado
"MacBook Air 2014, i5, 8GB, 256 GB, 13"" Reacondicionado - Plata",APPLE,no encontrado,$ 359.990,no encontrado
Notebook Thinkpad Intel core i5 8 GB RAM,LENOVO,no encontrado,$ 750.000,no encontrado
Notebook thinkpad CORE I5 8 GB DE RAM Y 256 GB DE DISCO DURO,LENOVO,no encontrado,$ 600.000,no encontrado
NOTEBOOK CORE I5 8 GB DE RAM Y 256 GB DE DISCO SOLIDO,DELL,no encontrado,$ 800.000,no encontrado
"THINKPAD L580 , SSD DE 512 GB , 16 GB EN RAM",LENOVO,no encontrado,$ 349.000,no encontrado
Notebook ThinkPad E16 2da Gen AMD Ryzen 7 16GB RAM 512GB SSD 16 WUXGA W11 Pro,LENOVO,no encontrado,$ 1.249.990,no encontrado
Notebook ThinkPad E16 2da Gen AMD Ryzen 5 16GB RAM 512GB SSD 16 WUXGA W11 Pro,LENOVO,$ 849.990,$ 879.990,$ 1.149.990
Notebook LOQ 9na Gen AMD Ryzen 7 16GB RAM 512GB SSD NVIDIA RTX 4060 15,LENOVO,no encontrado,$ 1.799.990,no encontrado
"Notebook Thinkbook 14 G3 Ryzen 7 16GB SSD 512GB 14"" Windows 10 Pro",LENOVO,no encontrado,$ 1.299.990,no encontrado
Notebook Yoga 7i 2-en-1 9na Gen Intel Core Ultra 7 16GB RAM 1TB SSD 16 WUXGA,LENOVO,no encontrado,$ 1.499.990,no encontrado
Notebook THINKPAD CORE I5 8 GB DE RAM Y 256 GB DE DISCO DURO,LENOVO,no encontrado,$ 600.000,no encontrado
"Macbook Pro 2017, i7, 15.4'', 16 GB RAM, 256 GB SSD, Gris Espacial - Reacondicionado",APPLE,no encontrado,$ 679.990,no encontrado
Notebook ThinkPad E16 2da Gen Intel Core Ultra 5 16GB RAM 512GB SSD 16 WUXGA W11 Pro,LENOVO,no encontrado,$ 1.299.990,no encontrado
"Notebook 245 G9 AMD R3 3250U RAM 16GB SSD 1TB 14"" W11 Pro",HP,no encontrado,$ 569.990,no encontrado
